job_title,mod_ind_index
Hydraulic Application Engineer/ Kỹ Sư Thủy Lực (Dùng Dầu) - Lương Thưởng Hấp Dẫn,25
Nhân Viên Mua Hàng (Admin),25
Tech & Data Management Associate,25
Chuyên Viên Quản Trị Vận Hành [HN],25
Tài Xế Xe Tải,25
Senior Content Creative ??? Tiktok Channel,25
Graphics Designer,25
Nhân Viên Cấp Dưỡng,25
Leader Designer,25
Trưởng Bộ Phận Kỹ Thuật,25
Leader UI/UX (Yêu Cầu Ít Nhất 1 Năm Kinh Nghiệm),25
Nhân Viên Buồng Phòng - Diamond Time,25
Nhân Viên KCS,25
Thực Tập Sinh Designer,25
Photographer,25
Trưởng Nhóm Biên Tập,25
Art Curator,25
Quay Dựng,25
Chuyên Viên Hồ Sơ Quyết Toán,25
Designer,25
Chuyên Viên Diễn Hoạt 2D - 2D Animator Lương Upto 15 Triệu,25
Nhân Viên Tuyển Sinh (Thu Nhập Từ 12 - 20 Triệu),25
Nhân Viên Designer,25
Kỹ Sư Dây Chuyền Lắp Ráp Khung-Gầm/ Chassis Line Engineer,25
Thực Tập Sinh Tài Trợ Thương Mại - Hà Nội/Hồ Chí Minh,25
Nhân Viên Quay Dựng Video Thu Nhập 10-15Tr,25
Designer Tài Năng,25
Nhân Viên Phân Tích Dữ Liệu,25
Kỹ Sư Bản Vẽ,25
Nhân Viên Thiết Pod/Dropshipping,25
Model Validation Intern - Hà Nội,25
Chuyên Viên Sáng Tạo Nội Dung Fanpage/ Content Creator / 8M - 12M/Tháng. (Luyện Thi Ielts Langgo),25
Trưởng Nhóm Content Quảng Cáo/ Content Ads/ Content Chuyển Đổi/,25
Designer,25
Designer,25
Design Executive - Thu Nhập 10 -12M (Chỉ Từ 6 Tháng Kinh Nghiệm),25
"Dựng Video Mảng Thông Điệp, Bài Học Cuộc Sống",25
Chuyên Viên Đấu Thầu,25
Thực Tập Sinh Dựng Phim,25
Chuyên Viên Sale Tour Nội Địa,25
Giám Sát Trại Heo Nái,25
Nhân Viên Mua Kiêm Check Vật Tư,25
Nhân Viên Kiểm Tra Chất Lượng,25
"Nhân Viên Nhảy Size, Giác Sơ Đồ",25
Nhân Viên Kỹ Thuật Vật Liệu Kim Loại,25
Nhân Viên Facebook Ads,25
Nhân Viên Kỹ Thuật,25
"Fresher Iot Engineer (C,C++,..)",25
Chuyên Viên Nghiên Cứu Ngành (Industry Research Analyst),25
Nhân Viên Cửa Hàng [ Marks & Spencer],25
Nhân Viên Đối Soát,25
Nhân Viên Kỹ Thuật,25
Nhân Viên Social Media Executive,25
Nhân Viên Chụp Hình (Photographer),25
Tiktok Content Creator,25
Visual Merchandiser,25
Giao Dịch Viên - Chi Nhánh An Giang,25
"Trưởng Nhóm Content/Team Lead Content Ads/Team Lead Content Quảng Cáo (Mạnh Chạy Số, Lương Cứng 13M - 18M/Tháng)",25
Nhân Viên Quay/Dựng Video,25
Nhân Viên KCS,25
Management Trainee,25
Kỹ Sư R&D Tại Hà Nội - Lương 12-18 Triệu/ Tháng,25
Kỹ Thuật Đội Xe - Đi Làm Ngay Sau Phỏng Vấn,25
Nhân Viên Quay Dựng,25
CTV Livestream (Part-Time),25
Nhân Viên Content Creator,25
Chuyên Viên Phụ Trách Kiểm Kê,25
People & Culture Operations,25
Nhân Viên Mua Hàng,25
Nhân Viên Quay Dựng Studio,25
Nhân Viên Thu Hồi Nợ Khu Vực Hà Nội,25
Tỗ Trưởng Cung Ứng & Thành Phẩm,25
Kỹ Sư Biện Pháp Thi Công - Shopdrawing,25
Nhân Viên Designer,25
Photographer Cum Designer,25
Nhân Viên Truyền Thông,25
Trưởng Nhóm Sáng Tạo Nội Dung (Leader Content Video),25
Nhân Viên Quay Dựng Lương Cứng Từ 13-16 Triệu,25
Nhân Viên Kỹ Thuật - Thu Nhập Từ 14 Triệu,25
"Nhân Viên Bưu Cục, Điều Phối Hàng Hóa Khu Vực Khánh Hòa",25
2D Artist (Từ 1 Năm Kinh Nghiệm),25
Nhân Viên 3D Animation- Hà Nội,25
Trưởng Nhóm 3D Animation,25
Media Leader (Graphic Design),25
Trưởng Phòng Học Thuật (Mức Lương Lên Tới 45 M),25
Chuyên Viên Quay Dựng/ Biên Tập Video,25
Social Media Executive,25
Nhân Viên Diễn Hoạt 2D-2D Animator Lương Upto 15 Triệu,25
Nhân Viên Designer,25
Nhân Viên Vận Hành Máy In Tại Hải Phòng,25
Thực Tập Sinh Truyền Thông Nội Bộ,25
Thực Tập Sinh Dựng Phim,25
Chuyên Viên Design Lương Cao Tại Nghệ An,25
Nhân Viên Designer,25
Graphic Design Lương 10M - 20M Tại Bình Thạnh,25
Thực Tập Sinh Designer Full-Time,25
Head Of Performance Management (Operation Division) - Hanoi,25
Nhân Viên Designer,25
Nhân Viên 2D Artist,25
Nhân Viên Biên Tập & MC Tại Hà Nội - Hồ Chí Minh,25
"Nhân Viên Hàn Tig,Mig",25
Trưởng Nhóm Media,25
Brand Leader,25
Họa Viên Thiết Kế 2D & 3D - Draftsman - Training Offline & Working Online,25
Center Leader,25
Chuyên Viên Quay Dựng Video,25
Phó Chủ Quản Xưởng Gỗ Tiếng Trung - Bình Dương / Upto 25M,25
Kỹ Sư Vận Hành Máy,25
Nhân Viên Kỹ Thuật Vận Hành Máy,25
Nhân Viên Điều Phối Xe Container,25
Supply Chain,25
Senior Graphic Design (Lương Từ 10 - 14 Triệu),25
Trưởng Nhóm SEO / SEO Leader,25
Leader Designer,25
Trưởng Nhóm Content/ Content Leader,25
Kỹ Sư Quản Trị Vận Hành Hệ Thống,25
Nhân Viên Triển Khai Bản Vẽ Autocad 2D - Không Yêu Cầu Kinh Nghiệm,25
Chuyên Viên Quản Lý Chất Lượng & Đào Tạo,25
Photographer,25
Cs Leader,25
Producer Production,25
Nhân Viên Vận Hành Máy,25
Media Producer,25
Nhân Viên Quay Dựng Video,25
Trưởng Phòng SEO (Thu Nhập Lên Đến 100 Triệu/ Tháng),25
Nhân Viên Truyền Thông - Đi Làm Ngay,25
Kỹ Sư Cầu (Quảng Ninh),25
